'level_above','type','name','first_name','last_name','title','agency_department','display_name','email','phone','homepage','gis_page','applications_page','data_page'
'San Bernardino County','City','Adelanto','','','','','Adelanto','','','','','',''
'Los Angeles County','City','Agoura Hills','','','','','Agoura Hills','','','','','',''
'Alameda County','City','Alameda','','','','','Alameda','','','','','',''
'State of California','County','Alameda','','','','','Alameda County','','','','http://www.acgov.org/government/geospatial.htm','http://www.acgov.org/assessor/resources/parcel_viewer.htm',''
'Alameda County','City','Albany','','','','','Albany','','','','','',''
'Los Angeles County','City','Alhambra','','','','','Alhambra','gis@planning.lacounty.gov','','','','',''
'Orange County','City','Aliso Viejo','','','','','Aliso Viejo','','','','','',''
'State of California','County','Alpine','Zach','Wood','Planner III','','Alpine County','zwood@alpinecountyca.gov','(530) 694-2140 ','','http://www.alpinecountyca.gov/index.aspx?NID=165','',''
'Modoc County','City','Alturas','','','','','Alturas','','','','','',''
'Amador County','City','Amador','','','','','Amador','','','','','',''
'State of California','County','Amador','Jeff','White','Information Technology Director','','Amador County','JWhite@amadorgov.org','(209) 223-6591','','http://www.co.amador.ca.us/departments/information-technology/gis','',''
'Napa County','City','American Canyon','','','','','American Canyon','','','','','',''
'Orange County','City','Anaheim','','','GIS Mapping','','Anaheim','','(714) 765-4238','','http://gis.anaheim.net/','http://gis.anaheim.net/PropertyInfo/',''
'Shasta County','City','Anderson','','','','','Anderson','','','','','',''
'Calaveras County','City','Angels','','','','','Angels','','','','','',''
'Contra Costa County','City','Antioch','Ron','Bernal','Public Works Director /City Engineer','','Antioch','RBernal@ci.antioch.ca.us','(925) 779 - 6950','','http://www.ci.antioch.ca.us/CityGov/PublicWorks/GIS/','http://www.antiochprospector.com/',''
'San Bernardino County','City','Apple Valley','','','','','Apple Valley','','','','','',''
'Los Angeles County','City','Arcadia','','','','','Arcadia','','','','','',''
'Humboldt County','City','Arcata','','','','','Arcata','','','','','',''
'San Luis Obispo County','City','Arroyo Grande','','','','','Arroyo Grande','','','','','',''
'Los Angeles County','City','Artesia','','','','','Artesia','','','','','',''
'Kern County','City','Arvin','','','','','Arvin','','','','','',''
'San Luis Obispo County','City','Atascadero','','','','','Atascadero','','','','','',''
'San Mateo County','City','Atherton','','','','','Atherton','','','','','',''
'Merced County','City','Atwater','','','','','Atwater','','','','','',''
'Placer County','City','Auburn','','','','','Auburn','','','','','',''
'Los Angeles County','City','Avalon','','','','','Avalon','','','','','',''
'Kings County','City','Avenal','','','','','Avenal','','','','','',''
'Los Angeles County','City','Azusa','','','','','Azusa','','','','','',''
'Kern County','City','Bakersfield','','','GIS Administrator','','Bakersfield','admgis@ci.bakersfield.ca.us','(661) 326-3062','','http://www.bakersfieldgis.us/','http://www.bakersfieldgis.us/online_mapping_applications.html',''
'Los Angeles County','City','Baldwin Park','','','','','Baldwin Park','','','','','',''
'Riverside County','City','Banning','','','','','Banning','','','','','',''
'San Bernardino County','City','Barstow','','','','','Barstow','','','','','',''
'n/a','Other','Bay Area Regional GIS Council','John','Hui','Berkeley Deputy CIO','City of Berkeley','Bay Area Regional GIS Council','jhuie@doit.cccounty.us','(925) 313-1318','','','',''
'Riverside County','City','Beaumont','','','','','Beaumont','','','','','',''
'Los Angeles County','City','Bell','','','','','Bell','','','','','',''
'Los Angeles County','City','Bell Gardens','','','','','Bell Gardens','','','','','',''
'Los Angeles County','City','Bellflower','','','','','Bellflower','','','','','',''
'San Mateo County','City','Belmont','','','','','Belmont','','','','','',''
'Marin County','City','Belvedere','','','','','Belvedere','','','','','',''
'Solano County','City','Benicia','','','','','Benicia','','','','','',''
'Alameda County','City','Berkeley','','','','','Berkeley','','','','http://www.ci.berkeley.ca.us/gis/','http://www.cityofberkeley.info/ContentDisplay.aspx?id=55706',''
'Los Angeles County','City','Beverly Hills','','','','','Beverly Hills','','','','','',''
'San Bernardino County','City','Big Bear Lake','','','','','Big Bear Lake','','','','','',''
'Butte County','City','Biggs','','','','','Biggs','','','','','',''
'Inyo County','City','Bishop','','','','','Bishop','','','','','',''
'Humboldt County','City','Blue Lake','','','','','Blue Lake','','','','','',''
'Riverside County','City','Blythe','','','','','Blythe','','','','','',''
'Los Angeles County','City','Bradbury','','','','','Bradbury','','','','','',''
'Imperial County','City','Brawley','','','','','Brawley','','','','','',''
'Orange County','City','Brea','','','','','Brea','','','','','',''
'Contra Costa County','City','Brentwood','','','','','Brentwood','','','','','',''
'San Mateo County','City','Brisbane','','','','','Brisbane','','','','','',''
